"g250m","dis_relig","dis_dentis","dis_groce","dis_gym","dis_hdware","dis_mall","dis_restrt","dis_school","pct_access","pct_ov30","rway","dis_exit","dis_subway","dis_crail","dis_bus","dis_parking","avgsw","pct_cur","pct_sw","popden","lumix","rdden","ndden","ndden_n3","ndden_n4","pct_n4","ujaccess","fac1_nw","fac2_connectivity","fac3_transit","fac4_auto","fac5_walk","community_","town_name","codas","pct_sch13","pct_owner","inc_med_hs","pct_pov","pct_white","pct_under5","pct_old65","pct_ov2car","inc_capita","pct_elsc_sch","pct_less3hsh","pct_labor","pct_unempl","f1_wealth","f2_children","f3_working","vmt_tot_mv","vin_mv","hh_mv","pop_mv","Walkscore","Walkscore.Desc","Transitscore","Transitscore.Desc","Bikescore","Bikescore.Desc","be_f1","be_f2","be_f3","be_f4","be_f5","be_f1_norm","dem_f1","dem_f2","dem_f3","res_ols_m1","res_ols_m2","res_ols_m3"
131231,1000,1000,353,2000,0,1600,1000,250,0,0,45.538,1384,818,1748,83,1398,14.22512,0.97228,0.97473,8702.22222,0.41189,16892.44444,106.66667,78.22222,17.77778,0.16666,516229.00245,-0.07599,3.47055,-1.06076,0.02578,2.67518,"Inner Core","Somerville",1,0.896153846153846,0.334831460674157,54479,0.0626223091976517,0.807228915662651,0.0502008032128514,0.108433734939759,0.098876404494382,25889,0.0631895687061184,0.647855530474041,0.744886975242196,0.00722543352601156,-0.0202016383075011,-1.17475146278109,0.742669889120706,19990220,2124,2202,4895,89,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",14.402943,429158.1920335,-380.59112,124632.606196,7294.7328358,77.9692790600351,55752.4512480133,15017.161374023,0.49629203574254,452.439281514986,360.061157026837,-1103.44871192286
131232,1000,1000,500,2000,250,1581,1000,250,0,0,45.93566,1619,702,1661,54,1609,13.96798,0.95723,0.95723,8750.22222,0.39459,17886.22222,110.22222,81.77778,21.33333,0.19354,512873.60461,0.06101,3.7942,-1.05174,0.01363,2.51311,"Inner Core","Somerville",1,0.845238095238095,0.341207349081365,49886,0.243296921549156,0.866733466933868,0.0340681362725451,0.123246492985972,0.236220472440945,21414,0.0976303317535545,0.481994459833795,0.651162790697674,0.0419254658385093,-0.304143052152686,-0.326989528255824,-0.00961814803186056,17876452,1925,1837,4922,88,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",14.1449439,426533.2318263,-450.7888984,124093.5964845,7630.3779198,76.4917063468389,49974.6877212727,12421.4632169915,0.409659085613086,1176.87004903575,998.427405538532,-464.407372721198
131233,1000,1000,559,2000,500,1520,1000,353,0,0,46.71484,1858,664,1609,147,1830,13.15575,0.94174,0.94174,7722.66667,0.47533,15994.66667,85.33333,64,17.77778,0.20833,509920.16685,-0.08019,3.07568,-1.125,0.04517,2.48127,"Inner Core","Somerville",1,0.906002265005662,0.33125,61500,0.144879267277269,0.789721317408614,0.0188201230546507,0.0376402461093015,0.13125,15876,0.0345580210985813,0.595528455284553,0.597127739984883,0.069620253164557,-0.469198307023337,-1.05954245347864,0.669785798151484,13743785,1469,1354,4340,83,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",13.3943321,424212.4984855,-521.8967216,122740.326946,6550.9079076,72.1929180414417,56662.9960758217,9209.60549454084,0.439736705395151,650.199792226349,484.823585098917,-841.863966772988
131234,1000,1000,707,2000,353,1500,1000,250,0,0,47.3312,1734,717,1596,218,2058,12.61257,0.93671,0.92216,8037.33333,0.58934,17134.22222,96,80,12.44444,0.12962,509920.16685,-0.24379,3.07488,-1.03425,0.06366,2.44577,"Inner Core","Somerville",1,0.906002265005662,0.33125,61500,0.144879267277269,0.789721317408614,0.0188201230546507,0.0376402461093015,0.13125,15876,0.0345580210985813,0.595528455284553,0.597127739984883,0.069620253164557,-0.469198307023337,-1.05954245347864,0.669785798151484,12050405,1284,1222,4518,76,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",12.8888032,424289.4284855,-484.228288,123062.8396092,7151.3707648,69.2977307777185,56662.9960758217,9209.60549454084,0.439736705395151,295.949707887956,-38.2797830037096,-1304.63174062999
131235,1000,1000,707,2000,250,1520,1000,0,0,0,47.36162,1565,844,1621,170,2290,12.84686,0.93614,0.92742,7038.22222,0.71237,19393.77778,106.66667,81.77778,17.77778,0.16666,530632.92996,-0.2938,3.42856,-0.9412,0.09781,2.2714,"Inner Core","Somerville",1,0.887573964497041,0.304721030042918,37946,0.302822925577417,0.859427609427609,0.0218855218855219,0.103535353535354,0.182403433476395,20472,0.0365217391304348,0.553530751708428,0.651978417266187,0.0455172413793103,-0.558333376007848,-1.02327397050595,0.314737950387388,12883243,1356,1222,3955,88,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",13.101548,441505.4718668,-433.5051688,128078.6818621,8355.6256114,70.5161300331979,39979.8512335454,11875.2665112638,0.427057899135237,1777.96746892233,2163.77642605326,476.136426775272
132028,1000,1000,559,2000,353,1030,1000,500,0.01134,0,45.83927,597,637,1988,91,677,8.01951,0.83558,0.82125,4451.55556,0.83514,17061.33333,120.88889,87.11111,16,0.13235,509955.74515,-0.63995,2.83271,-1.04556,0.09352,1.41576,"Inner Core","Cambridge",1,0.913135593220339,0.431159420289855,55625,0.0497803806734993,0.874613003095975,0.0526315789473684,0.0681114551083591,0.0833333333333333,24745,0.137931034482759,0.638783269961977,0.711666666666667,0.053864168618267,-0.131608581595124,-0.744059163016587,0.902030023624674,12443096,1255,1150,2504,78,"Very Walkable",0,"No Nearby Transit",88,"Very Bikeable",8.6201551,423809.0384745,-144.2541034,122160.7701356,7239.1603958,44.8509867588577,56131.6572543641,14353.6259193027,0.504321929824562,-612.687472251513,575.256250566702,1507.17654559891
132029,1000,1000,500,2000,250,1118,1000,250,0,0,47.53811,829,819,1812,85,848,9.64198,0.89695,0.91425,5057.77778,0.87396,16202.66667,138.66667,90.66667,17.77778,0.1282,516067.42774,-0.59984,3.13694,-0.94989,0.0602,1.76965,"Inner Core","Cambridge",1,0.815555555555556,0.37751677852349,26976,0.0785582255083179,0.78859649122807,0.0298245614035088,0.287719298245614,0.0285234899328859,24805,0.122659176029963,0.809825673534073,0.522012578616352,0.0220883534136546,-0.288035210840545,-1.45091962162964,-1.9378998786603,11629659,1227,1398,2845,82,"Very Walkable",0,"No Nearby Transit",84,"Very Bikeable",10.2024727,428770.2950242,-212.5710364,123531.5570496,6890.5656062,53.9129924378309,33240.410307705,14388.514557866,0.167828533598146,-1736.16490276063,-251.686849721256,275.093177136817
132030,1000,1000,500,2000,353,1250,1000,0,0,0,46.5203,1069,838,1655,199,1051,11.26682,0.91673,0.93437,6640,0.74095,16460.44444,147.55556,92.44444,17.77778,0.12048,516067.42774,-0.40108,3.49202,-0.95638,0.01754,2.04048,"Inner Core","Cambridge",1,0.815555555555556,0.37751677852349,26976,0.0785582255083179,0.78859649122807,0.0298245614035088,0.287719298245614,0.0285234899328859,24805,0.122659176029963,0.809825673534073,0.522012578616352,0.0220883534136546,-0.288035210840545,-1.45091962162964,-1.9378998786603,14961278,1585,1826,3735,84,"Very Walkable",0,"No Nearby Transit",80,"Very Bikeable",11.6842925,428815.5650242,-285.344572,123984.565421,6976.535229,62.3994425934854,33240.410307705,14388.514557866,0.167828533598146,-895.192284778853,100.726133493664,546.375401049747
132031,1000,1000,353,2000,250,1414,1000,250,0,0,45.80719,1313,633,1523,163,1271,12.79099,0.90896,0.92556,7498.66667,0.64824,16746.66667,136.88889,83.55556,19.55556,0.14285,516229.00245,-0.23873,3.61991,-0.98539,0.01815,2.21514,"Inner Core","Somerville",1,0.896153846153846,0.334831460674157,54479,0.0626223091976517,0.807228915662651,0.0502008032128514,0.108433734939759,0.098876404494382,25889,0.0631895687061184,0.647855530474041,0.744886975242196,0.00722543352601156,-0.0202016383075011,-1.17475146278109,0.742669889120706,17526086,1882,1963,4218,89,"Very Walkable",0,"No Nearby Transit",75,"Very Bikeable",13.0259595,429164.9420335,-359.0865356,124302.1183884,7150.3159478,70.0832312167624,55752.4512480133,15017.161374023,0.49629203574254,-362.69779602119,-51.4446895456143,448.797435110489
132032,1000,1000,250,2000,353,1346,1000,0,0,0,45.34049,1558,473,1423,78,1501,14.13845,0.93997,0.93809,9048.88889,0.51421,17553.77778,122.66667,88.88889,14.22222,0.11594,526660.08206,-0.16724,3.59377,-1.04126,0.00785,2.56735,"Inner Core","Somerville",1,0.903765690376569,0.346994535519126,57656,0.082004555808656,0.930555555555556,0.03125,0.12037037037037,0.158469945355191,30698,0.0434782608695652,0.675544794188862,0.765853658536585,0.0222929936305732,0.216127234650091,-1.43163980385459,0.765591577018042,19027064,2084,2091,5090,95,"Walker's Paradise",0,"No Nearby Transit",0,"Not Bikeable",14.2640748,438015.2381098,-432.9412276,127260.2058519,7592.0320162,77.1739744909468,60554.372042481,17806.5115344498,0.502709575429088,617.919596385712,655.420672563025,-932.280499447931
